region,model_type,market,mining,lifestyle
australian_capital_territory,OLS,1.0294245590450661,-0.05011131790659161,0.004230668402780947
greater_adelaide,OLS,0.9849949617671733,0.11003415476196571,0.10296803730662184
greater_brisbane,OLS,0.991883254598602,0.14941581047827515,0.3327714960027933
greater_darwin,OLS,1.0620537965306636,0.3297542832721209,-1.019953032015468
greater_hobart,OLS,1.0528641057168224,0.03698365686747886,0.5083581084349039
greater_melbourne,OLS,1.2220964248729043,-0.21856513046186085,-0.6564683847498406
greater_perth,OLS,0.9238266854492145,0.5237529426035925,-0.1758201660852289
greater_sydney,OLS,0.9802340825525463,-0.5053259499083615,-0.18655546750415344
rest_of_nsw,OLS,0.9347972803280303,-0.1084878361965116,0.39682381930983085
rest_of_nt,OLS,0.7765733361898262,0.17112287756054703,-0.8514081372697704
rest_of_qld,OLS,0.8429737377881006,0.30838676093734957,0.49138071621871965
rest_of_sa,OLS,0.8066946728249447,0.3132004103676211,0.3014993997693319
rest_of_tas,OLS,0.976718870240298,0.2171148243064102,0.6790173105697559
rest_of_vic,OLS,1.0445647813160428,-0.027246346203475456,0.04618450186720265
rest_of_wa,OLS,0.762429457913951,0.741052124229604,-0.013618577448237626
ADELAIDE - CENTRAL AND HILLS,OLS,1.0142237958297282,0.03819648666189326,-0.014458979817354315
ADELAIDE - NORTH,OLS,0.9459548257178193,0.18000868604488926,0.21356140422474712
ADELAIDE - SOUTH,OLS,0.9931251333585444,0.09820061402027522,0.09071599700510162
ADELAIDE - WEST,OLS,1.0192236271500212,0.06947594663340952,0.03112803477572428
AUSTRALIAN CAPITAL TERRITORY,OLS,1.0294245590450661,-0.05011131790659161,0.004230668402780947
BALLARAT,OLS,1.0565300683819483,-0.12254363841442958,-0.08548439655280045
BAROSSA - YORKE - MID NORTH,OLS,0.8285925725661701,0.4127897101986068,0.21752993330673404
BENDIGO,OLS,1.1051336248394528,-0.05857495979884366,-0.1880641133900875
BRISBANE - EAST,OLS,0.940660270598912,0.1297095822526574,0.3807841462707781
BRISBANE - NORTH,OLS,1.0444460752648401,0.06253352497668083,0.21200518388839634
BRISBANE - SOUTH,OLS,1.0636639369042142,0.017975834676264645,0.12153566337895035
BRISBANE - WEST,OLS,0.962404620927271,0.052287764112481275,0.2088368120834486
BRISBANE INNER CITY,OLS,1.1140295406164658,-0.0348267366307287,-0.008132458274132845
BUNBURY,OLS,0.8156496601411363,0.5969244359254386,0.1677903070155852
CAIRNS,OLS,0.7170178991163894,0.35084420571312,0.34622550692776505
CAPITAL REGION,OLS,0.9909401458255104,-0.05556912445509561,0.47961969008020205
CENTRAL COAST,OLS,0.9264987787412556,-0.47400167634179446,0.23559958429510608
CENTRAL QUEENSLAND,OLS,0.8074587054370027,0.8212445453634003,0.2546099026391372
CENTRAL WEST,OLS,0.8948656509770578,-0.07058608546134577,0.4327565252276983
COFFS HARBOUR - GRAFTON,OLS,0.9395905661316858,-0.005255425188363669,0.5712909257232969
DARLING DOWNS - MARANOA,OLS,0.8134121508942047,0.5350836984325839,0.14648449636366254
DARWIN,OLS,1.0620537965306636,0.3297542832721209,-1.019953032015468
FAR WEST AND ORANA,OLS,0.7842780941253206,0.1230115610262425,0.2605412172584548
GEELONG,OLS,1.2136633482931145,-0.14215617413252685,-0.22518206901890195
GOLD COAST,OLS,0.8883143845254542,0.023355346176852917,0.5691207531590492
HOBART,OLS,1.0528641057168224,0.03698365686747886,0.5083581084349039
HUME,OLS,0.9715383689316879,-0.007901124525477345,0.2452627171439418
HUNTER VALLEY EXC NEWCASTLE,OLS,0.9562112157714538,-0.037744196013336145,0.4055735735426536
ILLAWARRA,OLS,0.9955848521795004,-0.4082018826235227,0.1527199024479231
IPSWICH,OLS,0.9699613412543202,0.33885324608221506,0.521710831002645
LATROBE - GIPPSLAND,OLS,1.0716779759473738,0.04472651515783436,0.14777595386298725
LAUNCESTON AND NORTH EAST,OLS,0.9783408620799819,0.18778587715238768,0.7101453681724055
LOGAN - BEAUDESERT,OLS,0.9677577709246553,0.27736014737612597,0.4392649323435936
MACKAY - ISAAC - WHITSUNDAY,OLS,0.7352810927990195,0.8737429052157816,0.3939598350823937
MANDURAH,OLS,0.7711987908547004,0.6648456622599108,0.38788385826724947
MELBOURNE - INNER,OLS,1.145644894681163,-0.2934862919101326,-0.8460261396091917
MELBOURNE - INNER EAST,OLS,1.1985436893792358,-0.2962587216567853,-0.8638631230212105
MELBOURNE - INNER SOUTH,OLS,1.1759089065845392,-0.2821267033323886,-0.7230714723160526
MELBOURNE - NORTH EAST,OLS,1.216228146087809,-0.24905926313781654,-0.7415093375464644
MELBOURNE - NORTH WEST,OLS,1.2165362780712514,-0.15386727801381997,-0.6463021539439382
MELBOURNE - OUTER EAST,OLS,1.1596846318834273,-0.2672996771502984,-0.5500232139379596
MELBOURNE - SOUTH EAST,OLS,1.2338339183187086,-0.1872986274197682,-0.5860305750435201
MELBOURNE - WEST,OLS,1.2980582592360508,-0.14535312747696746,-0.75930510484606
MID NORTH COAST,OLS,0.8575847318419454,-0.1234954753646009,0.6694039225820383
MORETON BAY - NORTH,OLS,0.9311092206648465,0.18401288443012384,0.5709987537523229
MORETON BAY - SOUTH,OLS,0.9689430142942568,0.1498195348964527,0.32830458439989335
MORNINGTON PENINSULA,OLS,1.244320524479685,-0.22703210550296,-0.28166139752740077
MURRAY,OLS,0.8137145016354709,0.04245867624209745,0.5107717122520313
NEW ENGLAND AND NORTH WEST,OLS,0.8326011469091087,0.19134796513777808,0.19916646877118035
NEWCASTLE AND LAKE MACQUARIE,OLS,1.0244977942157694,-0.24432580868209727,0.16563493855973502
NORTH WEST,OLS,0.8222415253847432,-0.006286675513477816,0.23349409107864266
NORTHERN TERRITORY - OUTBACK,OLS,0.7765733361898262,0.17112287756054703,-0.8514081372697704
PERTH - INNER,OLS,1.0007759578133453,0.3723634802857242,-0.25206257852723896
PERTH - NORTH EAST,OLS,0.9473157669211735,0.5440630591104084,-0.28491497647589425
PERTH - NORTH WEST,OLS,0.9216402003006398,0.5061032772425278,-0.21530166959944122
PERTH - SOUTH EAST,OLS,0.9377512648978046,0.5428249043848468,-0.27001151684029806
PERTH - SOUTH WEST,OLS,0.9175200518389077,0.5212430050371066,-0.08957075747717351
QUEENSLAND - OUTBACK,OLS,0.7039734362586906,0.5709615380058075,-0.4765729695201986
RICHMOND - TWEED,OLS,0.9917796574038766,-0.02126175566768238,0.5695549258832082
RIVERINA,OLS,0.7769177247265996,0.016899475407267314,0.4074899421040257
SHEPPARTON,OLS,0.8450419147058549,0.0811218303842257,0.18819237061496497
SOUTH AUSTRALIA - OUTBACK,OLS,0.7811659125106937,0.5559145285378001,-0.029321306686696354
SOUTH AUSTRALIA - SOUTH EAST,OLS,0.8005176816271367,0.2110374882335162,0.413685103607991
SOUTH EAST,OLS,1.0944342061159917,0.12721288034577186,0.5865766387905517
SOUTHERN HIGHLANDS AND SHOALHAVEN,OLS,1.0060322110942586,-0.3661227389148353,0.4752745463635024
SUNSHINE COAST,OLS,0.9755330351044303,0.031178862955147813,0.7396521298861944
SYDNEY - BAULKHAM HILLS AND HAWKESBURY,OLS,1.0104006973470008,-0.5298462407000479,-0.18283348415565953
SYDNEY - BLACKTOWN,OLS,1.0317741036526393,-0.5107875731558479,-0.22109103299100955
SYDNEY - CITY AND INNER SOUTH,OLS,1.045414172195582,-0.5241419663117816,-0.5197294711859715
SYDNEY - EASTERN SUBURBS,OLS,1.0380994473232672,-0.46170968067157747,-0.22032221961649065
SYDNEY - INNER SOUTH WEST,OLS,0.9406361071727031,-0.5195686195206165,-0.3918623954060168
SYDNEY - INNER WEST,OLS,1.050836478181427,-0.5121598673810731,-0.476549563630096
SYDNEY - NORTH SYDNEY AND HORNSBY,OLS,0.9820120961777878,-0.5171287659196216,-0.23084309214960147
SYDNEY - NORTHERN BEACHES,OLS,0.9836794458180359,-0.4997370313626847,-0.052001230180841754
SYDNEY - OUTER SOUTH WEST,OLS,0.9605364790970433,-0.4682845558429579,-0.0929047009398777
SYDNEY - OUTER WEST AND BLUE MOUNTAINS,OLS,0.9511370845945837,-0.46368552575580096,-0.09560161404444988
SYDNEY - PARRAMATTA,OLS,0.9724353091109033,-0.5572812994453157,-0.386952347995184
SYDNEY - RYDE,OLS,1.0646527040323353,-0.550322841916702,-0.409933966146977
SYDNEY - SOUTH WEST,OLS,0.9993197360414322,-0.5402067240147831,-0.25530834174552974
SYDNEY - SUTHERLAND,OLS,0.9026404411510279,-0.5120920647733406,-0.20678806327245178
TOOWOOMBA,OLS,0.8639728033300833,0.19047860518891435,0.23712931621281988
TOWNSVILLE,OLS,0.6773455169912648,0.6534320318538898,0.15561526524089578
WARRNAMBOOL AND SOUTH WEST,OLS,0.9931068144756,0.1045905148242494,0.33769688287502997
WEST AND NORTH WEST,OLS,0.933453305147643,0.28439835993471557,0.6734970759801552
WESTERN AUSTRALIA - OUTBACK (NORTH),OLS,0.8113744881509516,1.3304222994199177,-0.30889488128864245
WESTERN AUSTRALIA - OUTBACK (SOUTH),OLS,0.6373358984300954,0.7525147628628708,-0.08411361630334074
WESTERN AUSTRALIA - WHEAT BELT,OLS,0.764493605524232,0.647543993594671,-0.0675688217639477
WIDE BAY,OLS,0.8423733372960325,0.439944649789151,0.8188144186025249
ADELAIDE - CENTRAL AND HILLS,ARIMAX,1.0127559051478774,0.021537892760906268,0.04712796066668993
ADELAIDE - NORTH,ARIMAX,0.9760100004803891,0.13415086204390772,0.13508514675235006
ADELAIDE - SOUTH,ARIMAX,0.9896247255458308,0.07336349824735837,0.1769677523545338
ADELAIDE - WEST,ARIMAX,1.0224824672637116,0.059062474898019676,0.019526534012298386
AUSTRALIAN CAPITAL TERRITORY,ARIMAX,1.0076337654019292,-0.12533878792774836,0.11447176548410357
BALLARAT,ARIMAX,0.8605779049792665,0.003857313075114321,0.162377232010878
BAROSSA - YORKE - MID NORTH,ARIMAX,0.7657289284475729,0.1699716672560738,0.17945288543116786
BENDIGO,ARIMAX,0.8738041403941581,0.05256167944968772,0.0895278379381948
BRISBANE - EAST,ARIMAX,0.9540706117647062,0.0701684644416231,0.37895836496898916
BRISBANE - NORTH,ARIMAX,1.0437296877131945,0.043716700933928175,0.22333977473477196
BRISBANE - SOUTH,ARIMAX,1.1647996006676864,-0.008723551990765936,0.16404989481854962
BRISBANE - WEST,ARIMAX,0.9643936628105112,0.030692537825857975,0.2212427135597194
BRISBANE INNER CITY,ARIMAX,1.1268608050937565,-0.029584347880971636,0.02693132531012821
BUNBURY,ARIMAX,0.8626419116791058,0.4499596810565996,0.03714244481962323
CAIRNS,ARIMAX,0.6887424550643043,0.25440700018379625,0.2344215313379535
CAPITAL REGION,ARIMAX,0.9811201655204962,1.2925154407552878e-4,0.36826253248551416
CENTRAL COAST,ARIMAX,0.9991050413258046,-0.37995898964807784,0.2088496415902716
CENTRAL QUEENSLAND,ARIMAX,0.8071817383147039,0.4784238226088615,0.06651512589557254
CENTRAL WEST,ARIMAX,0.8856249175613279,-0.03889929347760074,0.3877481416020412
COFFS HARBOUR - GRAFTON,ARIMAX,0.9319099317004067,-0.007770543170703157,0.5113561617601112
DARLING DOWNS - MARANOA,ARIMAX,0.7660755971287992,0.3162922146815077,0.18737626573751912
DARWIN,ARIMAX,0.7816208643192776,0.10472209683330323,-0.24018641434078822
FAR WEST AND ORANA,ARIMAX,0.7436767712864927,0.12144368877006621,0.3344593597847753
GEELONG,ARIMAX,1.1691213058329282,-0.09334878522421794,-0.14614896048417667
GOLD COAST,ARIMAX,0.8990265120041457,0.04097827893360337,0.5270833521276121
HOBART,ARIMAX,1.038866974459927,0.048254360127473535,0.5153370542330852
HUME,ARIMAX,0.9666477076712865,-0.0054424521423040665,0.11731516562189545
HUNTER VALLEY EXC NEWCASTLE,ARIMAX,0.943420549421916,-0.02622604401852094,0.47827787915371367
ILLAWARRA,ARIMAX,1.002806357534041,-0.2774958703477941,0.0963691559418812
IPSWICH,ARIMAX,0.9704159832322211,0.2640436967656495,0.7633743072562287
LATROBE - GIPPSLAND,ARIMAX,1.0013758294986574,0.05056812793626851,0.1786578455460194
LAUNCESTON AND NORTH EAST,ARIMAX,0.9266113125751659,0.1257611978511443,0.5746239646596373
LOGAN - BEAUDESERT,ARIMAX,1.0999883283800636,0.12821879091987823,0.6489829619303186
MACKAY - ISAAC - WHITSUNDAY,ARIMAX,0.6415781169576907,0.31540019828631977,0.33064596155080894
MANDURAH,ARIMAX,0.8562633231973926,0.5875477322853874,0.17556196600212612
MELBOURNE - INNER,ARIMAX,1.1452131479596428,-0.3219783983495688,-0.8012636799924624
MELBOURNE - INNER EAST,ARIMAX,1.1884920624739717,-0.3193121993628213,-0.7757837104818972
MELBOURNE - INNER SOUTH,ARIMAX,1.1825525125357805,-0.2650062386200907,-0.7778143219060031
MELBOURNE - NORTH EAST,ARIMAX,1.1261222963305688,-0.20795841434420487,-0.6442732757417996
MELBOURNE - NORTH WEST,ARIMAX,1.1719980497555773,-0.131488285987246,-0.5418363330775946
MELBOURNE - OUTER EAST,ARIMAX,1.1483124521596197,-0.2600806163126979,-0.5632500647658609
MELBOURNE - SOUTH EAST,ARIMAX,1.203503877524519,-0.17637986644802803,-0.5730349094623177
MELBOURNE - WEST,ARIMAX,1.2535763909841713,-0.19320784277498199,-0.6550883320492134
MID NORTH COAST,ARIMAX,0.8514616017875462,-0.10792852173124157,0.6187835462094471
MORETON BAY - NORTH,ARIMAX,0.9347672079588621,0.13790332328172164,0.6095982314321441
MORETON BAY - SOUTH,ARIMAX,0.9664706263851259,0.09227546673193075,0.4365333549717454
MORNINGTON PENINSULA,ARIMAX,1.2012958742824051,-0.20245396877443328,-0.24185313725047178
MURRAY,ARIMAX,0.814517283163901,0.05492837855134616,0.4849730241486441
NEW ENGLAND AND NORTH WEST,ARIMAX,0.7395162213158557,0.1729077265061709,0.29138404053224565
NEWCASTLE AND LAKE MACQUARIE,ARIMAX,1.0273919933759073,-0.17888550150104723,0.1707860903377032
NORTH WEST,ARIMAX,0.8088426915818998,0.011225581000635022,0.20531936314317473
NORTHERN TERRITORY - OUTBACK,ARIMAX,0.35449204928912353,0.026128949561013665,0.13096030563102534
PERTH - INNER,ARIMAX,1.0172077128816521,0.4199872814923452,-0.23057263207202155
PERTH - NORTH EAST,ARIMAX,0.9591737811582312,0.5779973282934255,-0.24978012272975536
PERTH - NORTH WEST,ARIMAX,1.0413349947814328,0.6397873046246187,-0.34723665483429933
PERTH - SOUTH EAST,ARIMAX,0.9916178704162377,0.6394217126294625,-0.2991511848038202
PERTH - SOUTH WEST,ARIMAX,0.9461867222456134,0.5673850996852707,-0.07572521115223363
QUEENSLAND - OUTBACK,ARIMAX,0.3874564878670729,0.12572260885275785,0.09253372060812143
RICHMOND - TWEED,ARIMAX,0.9791706717517984,-0.003646670828084704,0.503385725170702
RIVERINA,ARIMAX,0.7723096449724707,0.02013581137208249,0.30695610498057113
SHEPPARTON,ARIMAX,0.8329446159149396,0.0520461639686672,0.13749069702656677
SOUTH AUSTRALIA - OUTBACK,ARIMAX,0.5985651833590375,0.08993935324029345,0.07610710375150365
SOUTH AUSTRALIA - SOUTH EAST,ARIMAX,0.8170161049494291,0.14277868411954567,0.2970418577766467
SOUTH EAST,ARIMAX,0.9919893619252701,0.03010656130468915,0.43066216312629685
SOUTHERN HIGHLANDS AND SHOALHAVEN,ARIMAX,0.998375941362,-0.22363618777530672,0.3710810936701964
SUNSHINE COAST,ARIMAX,0.9767089844222989,0.03340087244609009,0.7078528525129224
SYDNEY - BAULKHAM HILLS AND HAWKESBURY,ARIMAX,1.0788599734294748,-0.47302732697699335,-0.3641045170697003
SYDNEY - BLACKTOWN,ARIMAX,1.0500779457595781,-0.3636540833418109,-0.16926935302032947
SYDNEY - CITY AND INNER SOUTH,ARIMAX,1.0783707190023943,-0.4995384023790353,-0.5283350113501624
SYDNEY - EASTERN SUBURBS,ARIMAX,1.1063420901170247,-0.38788871065020336,-0.3707644663586343
SYDNEY - INNER SOUTH WEST,ARIMAX,1.111146661805547,-0.5022677980823393,-0.5032914413134846
SYDNEY - INNER WEST,ARIMAX,1.0604596011938656,-0.4645465375351062,-0.5518699534057795
SYDNEY - NORTH SYDNEY AND HORNSBY,ARIMAX,1.0111504403521245,-0.4307195644920691,-0.25962445640652865
SYDNEY - NORTHERN BEACHES,ARIMAX,1.0847041522581786,-0.3595066580570531,-0.3212752069635126
SYDNEY - OUTER SOUTH WEST,ARIMAX,0.9827417810697737,-0.39792975276316067,-0.13984582291062794
SYDNEY - OUTER WEST AND BLUE MOUNTAINS,ARIMAX,0.975039315359541,-0.4369171502947447,-0.05356187149075258
SYDNEY - PARRAMATTA,ARIMAX,1.0193544069063143,-0.4383111544896274,-0.2903359514353269
SYDNEY - RYDE,ARIMAX,1.0813330955033242,-0.37950546781007016,-0.34196175812047597
SYDNEY - SOUTH WEST,ARIMAX,1.0359375577095755,-0.3994110799858704,-0.2118203243789128
SYDNEY - SUTHERLAND,ARIMAX,0.9489338780614123,-0.4505706741218571,-0.23334161991564722
TOOWOOMBA,ARIMAX,0.8340548236805303,0.1520952526382114,0.37004588770207353
TOWNSVILLE,ARIMAX,0.6894273347306566,0.43561340321163255,0.17151345236926882
WARRNAMBOOL AND SOUTH WEST,ARIMAX,0.9305448602972761,-0.024642014060787226,0.3164396546105227
WEST AND NORTH WEST,ARIMAX,0.8964581175498901,0.20475456360370828,0.6051458771125034
WESTERN AUSTRALIA - OUTBACK (NORTH),ARIMAX,0.7125989414237975,0.3828746478176254,0.005093751175588281
WESTERN AUSTRALIA - OUTBACK (SOUTH),ARIMAX,0.6749712153162751,0.4762628136355722,-0.12942187100355357
WESTERN AUSTRALIA - WHEAT BELT,ARIMAX,0.7795127039150065,0.4569027364667588,-0.1616847805038495
WIDE BAY,ARIMAX,0.8506877154369848,0.34921604996517935,0.7753693456979448
